cut,source,kind,in_ms,len_ms,inferred_slot,verdict,centroid,tilt,usable,alts,corr,fails,note
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-long.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",long,194,610,gore_wet,RETRY,6342,-12.7,462,"imp_transient, surf_stone, limb_tap",0.96,"-20 dB in 16 ms, slot wants 20-350; centroid 6342 Hz, slot wants 400-4000",
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation3-s01.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation3.wav",single,192,458,gore_wet,RETRY,5778,2.5,442,scrape_grain,0.98,"centroid 5778 Hz, slot wants 400-4000",
A_quick_light_forearm_tap_on_a_hard_floor_dry_an_variation1-s01.wav,"Firefly_audio_A_quick,_light_forearm_tap_on_a_hard_floor,_dry_an_variation1.wav",single,165,133,limb_tap,KEEP,4048,-15.6,126,"imp_transient, surf_stone",0.98,,satellite @120ms -33dB; satellite @292ms -27dB
A_quick_light_forearm_tap_on_a_hard_floor_dry_an_variation2-s01.wav,"Firefly_audio_A_quick,_light_forearm_tap_on_a_hard_floor,_dry_an_variation2.wav",single,437,161,limb_tap,KEEP,3509,-24.6,139,"imp_transient, surf_stone",0.97,,satellite @286ms -31dB; satellite @592ms -31dB
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation2-s01.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation2.wav",short,22,170,limb_tap,KEEP,4712,1.5,162,imp_transient,1.0,,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation2-s02.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation2.wav",short,786,196,limb_tap,KEEP,6551,-9.1,184,"imp_transient, surf_stone",1.0,,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation3-s01.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation3.wav",single,20,206,limb_tap,KEEP,6604,-3.8,202,imp_transient,1.0,,
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation4-s01.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation4.wav",short,20,204,limb_tap,RETRY,3236,13.2,198,"surf_wood, surf_soft, gore_wet",1.0,"6 transients in lomid, slot wants 0-4",
A_soft_short_boot_heel_tap_on_stone_gritty_tick_variation4-s02.wav,"Firefly_audio_A_soft,_short_boot_heel_tap_on_stone,_gritty_tick,_variation4.wav",short,695,123,limb_tap,RETRY,545,29.9,118,,1.0,"centroid 545 Hz, slot wants 600-9000",
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation1-loop.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation1.wav",loop,300,2508,foley_cloth,RETRY,7095,-22.0,2508,,0.88,"transient 8.6 dB over the bed, must be smooth",foley_cloth; window swept for seam
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation1-long.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation1.wav",long,96,2782,foley_cloth,RETRY,7096,-22.0,2782,,0.88,"envelope std 7.8 dB, too lumpy for a bed; transient 9.0 dB over the bed, must be smooth","foley_cloth; full take, not seam-matched"
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation3-loop.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation3.wav",loop,140,2508,foley_cloth,RETRY,5659,-16.7,2508,,0.92,"transient 16.1 dB over the bed, must be smooth",foley_cloth; window swept for seam
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation3-long.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation3.wav",long,14,2986,foley_cloth,RETRY,5660,-16.7,2986,surf_stone,0.92,"envelope std 6.0 dB, too lumpy for a bed; transient 15.3 dB over the bed, must be smooth","foley_cloth; full take, not seam-matched"
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation4-loop.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation4.wav",loop,120,2508,foley_cloth,RETRY,5947,-19.6,2508,,0.89,"transient 8.0 dB over the bed, must be smooth",foley_cloth; window swept for seam
A_steady_soft_rustle_of_heavy_woolen_cloak_fabric_variation4-long.wav,"Firefly_audio_A_steady_soft_rustle_of_heavy_woolen_cloak_fabric,_variation4.wav",long,24,2958,foley_cloth,RETRY,5949,-19.6,2958,,0.89,"envelope std 6.6 dB, too lumpy for a bed; transient 8.5 dB over the bed, must be smooth","foley_cloth; full take, not seam-matched"
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",short,88,212,gore_wet,RETRY,6180,-9.5,206,surf_stone,0.98,"centroid 6180 Hz, slot wants 400-4000",satellite @560ms -24dB; satellite @784ms -30dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-s02.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",short,289,277,gore_wet,RETRY,4596,-15.3,272,"imp_transient, surf_stone, limb_tap",0.98,"-20 dB in 10 ms, slot wants 20-350; centroid 4596 Hz, slot wants 400-4000",satellite @560ms -24dB; satellite @784ms -30dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1_1-long.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1(1).wav",long,88,478,gore_wet,RETRY,6106,-9.9,344,,0.98,"centroid 6106 Hz, slot wants 400-4000",satellite @560ms -24dB; satellite @784ms -30dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation1-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation1.wav",single,154,448,gore_wet,RETRY,4409,-23.4,148,"imp_transient, surf_stone",0.96,"only 148 ms of event, slot wants 200-400; centroid 4409 Hz, slot wants 400-4000",satellite @596ms -21dB; satellite @768ms -26dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",short,54,500,gore_wet,RETRY,4730,-43.5,212,"surf_stone, scrape_grain",0.96,"centroid 4730 Hz, slot wants 400-4000",satellite @666ms -33dB; satellite @714ms -24dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-s02.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",short,544,128,gore_wet,RETRY,5860,-40.2,124,"imp_transient, surf_stone, limb_tap",0.96,"only 124 ms of event, slot wants 200-400; -20 dB in 18 ms, slot wants 20-350; centroid 5860 Hz, slot wants 400-4000",satellite @666ms -33dB; satellite @714ms -24dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation2-long.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation2.wav",long,54,618,gore_wet,RETRY,4766,-43.1,330,"surf_stone, scrape_grain",0.96,"centroid 4766 Hz, slot wants 400-4000",satellite @666ms -33dB; satellite @714ms -24dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation3-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation3.wav",single,17,637,gore_wet,RETRY,4059,-4.9,596,,0.99,"-20 dB in 4 ms, slot wants 20-350; centroid 4059 Hz, slot wants 400-4000",satellite @654ms -31dB; satellite @810ms -33dB; satellite @894ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4_1-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4(1).wav",single,36,452,gore_wet,RETRY,3733,-26.6,424,surf_stone,0.92,"-20 dB in 6 ms, slot wants 20-350",satellite @510ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s01.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",short,60,304,gore_wet,RETRY,4488,-38.0,122,"surf_stone, scrape_grain",0.97,"only 122 ms of event, slot wants 200-400; centroid 4488 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s02.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",short,354,122,gore_wet,RETRY,4205,-42.0,118,"imp_transient, surf_stone",0.97,"only 118 ms of event, slot wants 200-400; -20 dB in 10 ms, slot wants 20-350; centroid 4205 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-s03.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",short,466,248,gore_wet,RETRY,4474,-43.8,244,surf_stone,0.97,"-20 dB in 18 ms, slot wants 20-350; centroid 4474 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
A_wet_thick_squelch_of_raw_meat_and_offal_single_variation4-long.wav,"Firefly_audio_A_wet,_thick_squelch_of_raw_meat_and_offal,_single_variation4.wav",long,60,654,gore_wet,RETRY,4410,-38.8,304,"surf_stone, scrape_grain",0.97,"centroid 4410 Hz, slot wants 400-4000",satellite @708ms -27dB; satellite @864ms -31dB
a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1-s01.wav,Firefly_audio_a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1.wav,short,135,163,imp_body,RETRY,3755,4.8,155,"imp_transient, limb_tap",0.75,"-20 dB in 12 ms, slot wants 15-200",satellite @394ms -31dB
a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1-s02.wav,Firefly_audio_a_dry_meaty_damp_cut_of_meat_dropped_onto_a_butche_variation1.wav,short,285,115,imp_body,RETRY,3993,21.1,110,,0.75,"only 110 ms of event, slot wants 150-250; second contact at +43 ms (-16 dB), collides with imp_sub; 6 transients in lomid, slot wants 0-5",satellite @394ms -31dB
continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1-loop.wav,Firefly_audio_continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1.wav,loop,2980,2508,foley_cloth,RETRY,5266,-20.5,2508,,0.91,"envelope std 7.2 dB, too lumpy for a bed; transient 11.6 dB over the bed, must be smooth",foley_cloth; window swept for seam
continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1-long.wav,Firefly_audio_continuous_soft_rustle_of_heavy_woollen_cloak_fabr_variation1.wav,long,34,9828,foley_cloth,RETRY,5063,-20.2,9828,,0.91,"envelope std 6.8 dB, too lumpy for a bed; transient 20.0 dB over the bed, must be smooth","foley_cloth; full take, not seam-matched"
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation1_1-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation1(1).wav",single,15,551,surf_soft,RETRY,5412,8.7,533,"imp_transient, limb_tap",1.0,"-20 dB in 6 ms, slot wants 15-200; centroid 5412 Hz, slot wants 300-3200",satellite @580ms -33dB
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation1-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation1.wav",single,64,212,surf_soft,KEEP,2307,20.8,202,"imp_body, surf_wood, limb_tap, gore_wet, settle_rest",1.0,,
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation2-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation2.wav",single,35,233,surf_soft,KEEP,3048,14.0,221,"imp_body, limb_tap, gore_wet, settle_rest",1.0,,satellite @262ms -29dB
dull_muffled_thump_into_damp_soil_soft_dead_impac_variation4-s01.wav,"Firefly_audio_dull_muffled_thump_into_damp_soil,_soft_dead_impac_variation4.wav",single,13,451,surf_soft,RETRY,5054,16.7,445,limb_tap,1.0,"centroid 5054 Hz, slot wants 300-3200",
fish_slap_variation1-s01.wav,Firefly_audio_fish_slap_variation1.wav,short,274,118,imp_transient,KEEP,5344,-25.8,114,"surf_stone, limb_tap",0.98,,satellite @94ms -31dB; satellite @158ms -31dB; satellite @604ms -26dB
fish_slap_variation1-s02.wav,Firefly_audio_fish_slap_variation1.wav,short,382,228,imp_transient,RETRY,5651,-26.4,224,"surf_stone, scrape_grain",0.98,"-20 dB in 170 ms, slot wants 5-90; 16 transients in lomid, slot wants 0-6",satellite @94ms -31dB; satellite @158ms -31dB; satellite @604ms -26dB
fish_slap_variation3_1-s01.wav,Firefly_audio_fish_slap_variation3(1).wav,single,328,672,imp_transient,RETRY,7122,-50.1,668,surf_stone,0.99,"16 transients in lomid, slot wants 0-6",
fish_slap_variation3-s01.wav,Firefly_audio_fish_slap_variation3.wav,single,34,138,imp_transient,KEEP,6225,-31.4,132,"surf_stone, limb_tap",0.83,,
fish_slap_variation4-s01.wav,Firefly_audio_fish_slap_variation4.wav,single,194,112,imp_transient,KEEP,7044,-28.9,106,"surf_stone, limb_tap",0.98,,satellite @300ms -28dB; satellite @394ms -23dB; satellite @498ms -21dB; satellite @588ms -29dB; satellite @736ms -25dB
hard_flat_impact_against_cold_stone_flagstone_tig_variation1-s01.wav,"Firefly_audio_hard_flat_impact_against_cold_stone_flagstone,_tig_variation1.wav",single,22,426,surf_stone,RETRY,1732,17.7,422,"imp_body, surf_wood, surf_soft, limb_tap, gore_wet, settle_rest",0.89,"tilt +17.7 dB, too bass-led (max -2) — a body take, not a transient",
hard_flat_impact_of_human_body_against_cold_stone_variation1-s01.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation1.wav,single,20,524,surf_stone,RETRY,3747,8.0,501,"imp_transient, imp_body, limb_tap, gore_wet",0.96,"tilt +8.0 dB, too bass-led (max -2) — a body take, not a transient",
hard_flat_impact_of_human_body_against_cold_stone_variation3-s01.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation3.wav,single,34,784,surf_stone,RETRY,2748,12.9,780,"surf_wood, surf_soft, gore_wet, head_impact, settle_rest",0.99,"tilt +12.9 dB, too bass-led (max -2) — a body take, not a transient",
hard_flat_impact_of_human_body_against_cold_stone_variation4-s01.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation4.wav,short,19,77,surf_stone,RETRY,2377,6.4,72,"imp_transient, limb_tap",0.68,"only 72 ms of event, slot wants 100-160; tilt +6.4 dB, too bass-led (max -2) — a body take, not a transient",satellite @90ms -22dB; satellite @426ms -32dB; satellite @592ms -28dB
hard_flat_impact_of_human_body_against_cold_stone_variation4-s02.wav,Firefly_audio_hard_flat_impact_of_human_body_against_cold_stone__variation4.wav,short,216,216,surf_stone,RETRY,2489,-0.4,160,"imp_transient, limb_tap",0.68,"tilt -0.4 dB, too bass-led (max -2) — a body take, not a transient",satellite @90ms -22dB; satellite @426ms -32dB; satellite @592ms -28dB
hard_knuckle_crack_against_a_wooden_board_one_sho_variation1-s01.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation1.wav",short,15,91,imp_transient,KEEP,1814,-15.4,84,limb_tap,0.99,,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation1-s02.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation1.wav",short,897,67,imp_transient,RETRY,1365,-15.2,60,limb_tap,0.99,"centroid 1365 Hz, slot wants 1500-9000",
hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s01.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",short,343,67,imp_transient,KEEP,2372,-24.7,60,limb_tap,0.96,,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s02.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",short,801,67,imp_transient,KEEP,1772,-21.9,55,limb_tap,0.96,,
hard_knuckle_crack_against_a_wooden_board_one_sho_variation2-s03.wav,"Firefly_audio_hard_knuckle_crack_against_a_wooden_board,_one_sho_variation2.wav",short,926,60,imp_transient,RETRY,1335,-2.7,52,limb_tap,0.96,"centroid 1335 Hz, slot wants 1500-9000; tilt -2.7 dB, too bass-led (max -6) — a body take, not a transient",
heavy_body_dragged_slowly_across_rough_stone_low_variation1-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation1.wav",loop,11960,2008,scrape_loop,RETRY,2443,22.6,2008,,1.0,"60 grains/s, want 8-40; tilt +22.6 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation1-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation1.wav",long,40,14938,scrape_loop,RETRY,2658,21.1,14938,"surf_soft, gore_wet, settle_rest",1.0,"tilt +21.1 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
heavy_body_dragged_slowly_across_rough_stone_low_variation2-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation2.wav",loop,380,2008,scrape_loop,RETRY,3675,17.6,2008,,0.98,"73 grains/s, want 8-40",scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation2-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation2.wav",long,4,2934,scrape_loop,RETRY,3920,16.6,2934,,0.98,"57 grains/s, want 8-40","scrape_loop; full take, not seam-matched"
heavy_body_dragged_slowly_across_rough_stone_low_variation3_1-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation3(1).wav",loop,800,2008,scrape_loop,RETRY,3959,14.0,2008,,0.99,"64 grains/s, want 8-40",scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation3_1-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation3(1).wav",long,40,2902,scrape_loop,RETRY,3786,14.6,2902,,0.99,"42 grains/s, want 8-40","scrape_loop; full take, not seam-matched"
heavy_body_dragged_slowly_across_rough_stone_low_variation4-loop.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation4.wav",loop,4260,2008,scrape_loop,RETRY,2053,26.3,2008,,1.0,"tilt +26.3 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
heavy_body_dragged_slowly_across_rough_stone_low_variation4-long.wav,"Firefly_audio_heavy_body_dragged_slowly_across_rough_stone,_low__variation4.wav",long,22,14954,scrape_loop,RETRY,2297,24.6,14954,gore_wet,1.0,"tilt +24.6 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
heavy_body_violently_sliding_and_scraping_along_gr_variation1-loop.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation1.wav,loop,6760,2008,scrape_loop,RETRY,5177,7.7,2008,,0.99,"69 grains/s, want 8-40",scrape_loop; window swept for seam
heavy_body_violently_sliding_and_scraping_along_gr_variation1-long.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation1.wav,long,12,9916,scrape_loop,RETRY,5578,5.7,9916,,0.99,"67 grains/s, want 8-40","scrape_loop; full take, not seam-matched"
heavy_body_violently_sliding_and_scraping_along_gr_variation2-loop.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation2.wav,loop,3480,2008,scrape_loop,RETRY,3311,17.7,2008,,0.99,"53 grains/s, want 8-40",scrape_loop; window swept for seam
heavy_body_violently_sliding_and_scraping_along_gr_variation2-long.wav,Firefly_audio_heavy_body_violently_sliding_and_scraping_along_gr_variation2.wav,long,20,9898,scrape_loop,KEEP,3135,18.6,9898,gore_wet,0.99,,"scrape_loop; full take, not seam-matched"
heavy_forearm_dropped_onto_packed_earth_single_qu_variation3-s01.wav,"Firefly_audio_heavy_forearm_dropped_onto_packed_earth,_single_qu_variation3.wav",single,57,455,limb_tap,KEEP,5136,5.3,426,,1.0,,satellite @506ms -31dB
heavy_limp_body_settling_onto_the_ground_soft_fin_variation4-s01.wav,"Firefly_audio_heavy_limp_body_settling_onto_the_ground,_soft_fin_variation4.wav",single,129,417,settle_rest,RETRY,2035,13.0,410,surf_soft,1.0,"-20 dB in 18 ms, slot wants 20-400",satellite @682ms -30dB
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation1-s01.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation1.wav,single,174,670,imp_body,KEEP*,4084,16.3,660,,1.0,"second contact at +55 ms (-2 dB), collides with imp_sub",
heavy_side_of_raw_meat_dropped_flat_onto_a_wooden_variation3-s01.wav,Firefly_audio_heavy_side_of_raw_meat_dropped_flat_onto_a_wooden__variation3.wav,single,124,784,imp_body,RETRY,3446,19.2,774,"gore_wet, head_impact",0.95,"6 transients in lomid, slot wants 0-5",
